Total Household Income,Region,Total Food Expenditure,Main Source of Income,Agricultural Household indicator,Bread and Cereals Expenditure,Total Rice Expenditure,Meat Expenditure,Total Fish and  marine products Expenditure,Fruit Expenditure,Vegetables Expenditure,Restaurant and hotels Expenditure,Alcoholic Beverages Expenditure,Tobacco Expenditure,"Clothing, Footwear and Other Wear Expenditure",Housing and water Expenditure,Imputed House Rental Value,Medical Care Expenditure,Transportation Expenditure,Communication Expenditure,Education Expenditure,Miscellaneous Goods and Services Expenditure,Special Occasions Expenditure,Crop Farming and Gardening expenses,Total Income from Entrepreneurial Acitivites,Household Head Sex,Household Head Age,Household Head Marital Status,Household Head Highest Grade Completed,Household Head Job or Business Indicator,Household Head Occupation,Household Head Class of Worker,Type of Household,Total Number of Family members,Members with age less than 5 year old,Members with age 5 - 17 years old,Total number of family members employed,Type of Building/House,Type of Roof,Type of Walls,House Floor Area,House Age,Number of bedrooms,Tenure Status,Toilet Facilities,Electricity,Main Source of Water Supply,Number of Television,Number of CD/VCD/DVD,Number of Component/Stereo set,Number of Refrigerator/Freezer,Number of Washing Machine,Number of Airconditioner,"Number of Car, Jeep, Van",Number of Landline/wireless telephones,Number of Cellular phone,Number of Personal Computer,Number of Stove with Oven/Gas Range,Number of Motorized Banca,Number of Motorcycle/Tricycle,Region_clean
87071,IVB - MIMAROPA,19618,Other sources of Income,0,8172,6888,1845,3066,704,1534,260,70,0,710,13716,9000,20215,2256,390,0,1278,0,4425,32203,Male,63,Married,Elementary Graduate,With Job/Business,Farmhands and laborers,Worked for private establishment,Single Family,2,0,0,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,75,21,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, shared with other household",1,"Own use, faucet, community water system",1,0,0,0,0,0,0,0,1,0,0,0,1,IVB - MIMAROPA
123142,IVB - MIMAROPA,46237,Enterpreneurial Activities,0,22202,19688,4990,3556,840,1940,3650,252,0,1360,9570,4800,8065,7794,720,300,3312,800,27730,103060,Male,38,Married,Elementary Graduate,No Job/Business,,,Single Family,5,1,2,0,Single house,"Light material (cogon,nipa,anahaw)",Light,40,15,1,Own or owner-like possession of house and lot,,1,"Shared, faucet, community water system",0,0,0,0,0,0,0,0,1,0,0,0,0,IVB - MIMAROPA
121723,IVB - MIMAROPA,55883,Enterpreneurial Activities,0,21601,19458,5620,5048,523,1849,10460,0,3620,3605,11430,4800,50,3600,1800,790,4794,0,0,109600,Male,40,Widowed,Elementary Graduate,With Job/Business,General managers/managing proprietors in wholesale and retail trade,Self-employed wihout any employee,Single Family,5,0,4,0,Single house,"Light material (cogon,nipa,anahaw)",Light,13,4,1,"Own house, rent-free lot with consent of owner","Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,1,0,1,0,0,0,1,0,0,0,1,IVB - MIMAROPA
112140,IVB - MIMAROPA,45014,Wage/Salaries,1,25429,24366,2040,3596,764,1087,7100,1696,1520,3910,7428,3600,1532,5802,390,4030,4020,500,3324,18924,Male,55,Divorced/Separated,First Year High School,With Job/Business,Farmhands and laborers,Worked for private establishment,Extended Family,5,1,1,2,Single house,"Light material (cogon,nipa,anahaw)",Light,40,19,1,"Own house, rent-free lot without consent of owner","Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",0,0,0,0,0,0,0,0,0,0,0,0,0,IVB - MIMAROPA
134374,IVB - MIMAROPA,62019,Wage/Salaries,0,24630,23704,4094,3566,620,9894,11070,1552,0,9056,12006,6000,2083,1380,864,6400,9216,0,0,0,Male,40,Married,First Year High School,With Job/Business,"Helpers and cleaners in offices, hotels and other establishments",Worked for private establishment,Single Family,6,0,3,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Light,45,14,1,"Own house, rent-free lot with consent of owner","Water-sealed, sewer septic tank, used exclusively by household",1,"Shared, tubed/piped deep well",1,0,0,0,0,0,0,0,1,0,0,0,0,IVB - MIMAROPA
94887,IVB - MIMAROPA,45874,Wage/Salaries,0,14315,11892,7720,5010,480,2708,7900,0,210,3325,17328,8400,374,3120,2202,2050,4176,0,0,0,Female,33,Married,High School Graduate,No Job/Business,,,Single Family,4,0,3,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Light,36,15,2,"Own house, rent-free lot with consent of owner","Water-sealed, sewer septic tank, used exclusively by household",1,"Shared, faucet, community water system",1,1,1,0,0,0,0,0,1,0,0,0,0,IVB - MIMAROPA
181177,IVB - MIMAROPA,41648,Enterpreneurial Activities,0,12263,10202,6030,4599,570,2180,8810,0,0,1500,15690,7800,360,3540,1512,18150,5514,0,0,141900,Male,49,Married,High School Graduate,With Job/Business,Market and sidewalk stall vendors,Self-employed wihout any employee,Single Family,4,0,1,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,63,25,2,"Own house, rent-free lot with consent of owner","Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, tubed/piped deep well",1,0,0,0,0,0,0,0,3,0,0,0,0,IVB - MIMAROPA
192813,IVB - MIMAROPA,78468,Wage/Salaries,0,23400,18300,15680,7303,1305,1715,15280,40,12940,6160,28254,7200,80,7716,4656,13350,5544,1199,0,55676,Male,39,Married,Grade 3,With Job/Business,Welders and flamecutters,Worked for private establishment,Single Family,5,0,3,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,54,14,1,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, tubed/piped deep well",1,1,1,0,1,0,0,0,3,0,0,0,1,IVB - MIMAROPA
116235,IVB - MIMAROPA,40692,Wage/Salaries,0,18884,16393,3112,6682,330,733,4920,1008,3890,3536,24816,12600,465,4680,180,210,5232,200,0,0,Male,33,Married,Third Year High School,With Job/Business,Motorcycle drivers,Worked for private establishment,Extended Family,7,1,2,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,27,24,3,Rent-free house and lot with consent of owner,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, tubed/piped deep well",1,0,0,0,0,0,0,0,1,0,0,0,0,IVB - MIMAROPA
73799,IVB - MIMAROPA,35594,Wage/Salaries,0,12425,11232,1296,3491,435,1730,8930,0,0,640,10194,4800,180,4260,462,2000,5436,200,0,0,Female,56,Widowed,Grade 2,With Job/Business,Hand launderers and pressers,Worked for private household,Extended Family,6,0,5,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,27,23,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Shared, tubed/piped deep well",1,0,0,0,0,0,0,0,1,0,0,0,0,IVB - MIMAROPA
113284,IVB - MIMAROPA,55115,Wage/Salaries,0,19858,16110,5010,8160,1180,2635,8980,344,2217,2050,12324,4800,834,300,3672,23915,3750,0,0,0,Male,37,Divorced/Separated,Elementary Graduate,With Job/Business,Housekeepers and related workers,Worked for private establishment,Single Family,3,0,2,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Light,9,9,1,Rent-free house and lot with consent of owner,"Water-sealed, sewer septic tank, shared with other household",1,"Shared, tubed/piped deep well",1,0,0,0,0,0,0,0,2,0,0,0,0,IVB - MIMAROPA
193278,IVB - MIMAROPA,86669,Enterpreneurial Activities,0,16244,13522,20420,10885,1095,3440,10850,570,0,3274,45438,15000,918,4476,3126,1050,8532,5640,0,176818,Male,34,Married,High School Graduate,With Job/Business,General managers/managing proprietors in manufacturing,Self-employed wihout any employee,Single Family,5,0,3,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,36,23,3,Rent-free house and lot with consent of owner,"Water-sealed, sewer septic tank, used exclusively by household",1,"Shared, faucet, community water system",1,0,0,1,1,1,0,0,2,1,1,0,1,IVB - MIMAROPA
96181,IVB - MIMAROPA,38422,Other sources of Income,0,14131,10752,2865,10806,1870,2055,60,436,0,180,30372,15600,4451,5544,1782,0,6342,1362,0,22500,Female,70,Widowed,Elementary Graduate,No Job/Business,,,Single Family,2,0,0,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,63,34,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,0,0,0,1,0,0,0,1,0,0,0,1,IVB - MIMAROPA
97483,IVB - MIMAROPA,39517,Wage/Salaries,0,12970,9734,3192,5628,385,786,8230,210,2896,1695,13386,6000,2860,5436,1782,7300,7764,400,0,0,Male,34,Married,Elementary Graduate,With Job/Business,"Bakers, pastry cooks and confectionery makers",Worked for private establishment,Single Family,4,0,2,2,Single house,"Light material (cogon,nipa,anahaw)",Light,14,17,1,"Own house, rent-free lot without consent of owner","Water-sealed, sewer septic tank, used exclusively by household",0,"Shared, tubed/piped deep well",0,0,0,0,0,0,0,0,1,0,0,0,0,IVB - MIMAROPA
239308,IVB - MIMAROPA,80915,Wage/Salaries,0,28099,19460,12336,7616,2725,2980,12350,126,2896,1975,30702,12000,8295,13746,2736,2329,8982,0,0,0,Male,79,Married,Third Year High School,No Job/Business,,,Extended Family,10,0,4,4,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,30,35,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,0,0,0,0,0,0,3,0,0,0,0,IVB - MIMAROPA
99295,IVB - MIMAROPA,47109,Wage/Salaries,1,15921,13614,5710,7224,830,1385,6580,2532,7240,550,13944,7800,332,4902,1212,5710,3792,850,0,0,Male,57,Married,Grade 4,With Job/Business,Farmhands and laborers,Worked for private establishment,Single Family,3,0,1,2,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,54,24,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Shared, faucet, community water system",1,1,0,0,0,0,0,0,1,0,0,0,0,IVB - MIMAROPA
211359,IVB - MIMAROPA,67360,Enterpreneurial Activities,0,21065,18402,5602,9748,2520,2590,5500,1434,0,2150,31542,15000,1192,9330,3852,720,5046,3200,0,159140,Female,61,Widowed,Elementary Graduate,With Job/Business,Market and sidewalk stall vendors,Self-employed wihout any employee,Extended Family,7,1,2,1,Duplex,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,63,16,1,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,0,0,0,0,0,0,0,2,1,0,0,0,IVB - MIMAROPA
108247,IVB - MIMAROPA,52954,Wage/Salaries,0,15023,13277,4090,15296,2635,3235,1950,1038,8124,2799,16716,8400,3085,5760,5520,0,4800,1150,0,4800,Male,43,Married,Second Year College,With Job/Business,"Waiters, waitresses and bartenders",Worked for private establishment,Single Family,3,0,0,2,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Quite Strong,18,12,3,Rent-free house and lot with consent of owner,"Water-sealed, sewer septic tank, used exclusively by household",1,Peddler,1,0,0,0,0,0,0,0,2,0,0,0,0,IVB - MIMAROPA
42983,IVB - MIMAROPA,17523,Other sources of Income,0,7076,5880,125,5961,175,364,1800,162,0,350,6252,4800,45,342,0,0,1434,0,0,0,Male,78,Widowed,Grade 4,With Job/Business,Fishery laborers and helpers,Worked for private establishment,Single Family,1,0,0,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Salvaged,35,25,1,Rent-free house and lot with consent of owner,"Water-sealed, sewer septic tank, used exclusively by household",0,"Shared, tubed/piped deep well",0,0,0,0,0,0,0,0,0,0,0,0,0,IVB - MIMAROPA
347715,IVB - MIMAROPA,87832,Other sources of Income,0,35223,28960,14345,14356,574,1614,12320,1344,0,4346,52566,30000,998,11082,3174,50250,6756,200,0,27930,Male,48,Married,Business and Administration Programs,With Job/Business,Deep-sea fishermen,Self-employed wihout any employee,Single Family,3,0,1,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,70,21,3,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, tubed/piped deep well",2,1,0,1,1,0,0,0,3,0,0,0,0,IVB - MIMAROPA
46150,IVB - MIMAROPA,19651,Other sources of Income,0,9115,7179,2200,2382,224,1141,735,108,0,50,14502,12000,797,642,312,0,3768,200,0,16194,Female,62,Widowed,Elementary Graduate,With Job/Business,Street ambulant vendors,Self-employed wihout any employee,Single Family,1,0,0,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,20,11,2,"Own house, rent-free lot without consent of owner","Water-sealed, sewer septic tank, used exclusively by household",1,"Shared, tubed/piped deep well",0,0,0,0,0,0,0,0,1,0,0,0,0,IVB - MIMAROPA
144462,IVB - MIMAROPA,71933,Wage/Salaries,0,27452,24766,12201,16213,1060,1995,720,1392,7240,2452,22434,15000,1080,5040,780,0,3696,200,0,50990,Male,49,Married,Grade 1,With Job/Business,Deep-sea fishermen,Self-employed wihout any employee,Single Family,3,0,0,2,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Quite Strong,60,20,3,"Own house, rent-free lot without consent of owner","Water-sealed, sewer septic tank, used exclusively by household",1,"Shared, tubed/piped deep well",0,0,0,0,0,0,0,0,0,0,0,0,0,IVB - MIMAROPA
110265,IVB - MIMAROPA,65039,Wage/Salaries,1,25494,24373,4764,13756,1920,3380,4080,2958,0,1160,18588,12000,442,2424,1146,7706,3582,350,0,9960,Male,42,Married,Elementary Graduate,With Job/Business,Fishery laborers and helpers,Worked for private establishment,Single Family,5,0,3,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,50,9,2,"Own house, rent-free lot with consent of owner","Water-sealed, sewer septic tank, used exclusively by household",1,"Shared, tubed/piped deep well",0,0,0,0,0,0,0,0,1,0,0,0,0,IVB - MIMAROPA
92101,IVB - MIMAROPA,51018,Wage/Salaries,0,24053,21084,4150,8515,855,1943,4880,0,1991,2100,8670,3600,180,3762,690,2205,4476,250,0,0,Female,45,Divorced/Separated,First Year High School,With Job/Business,Fishery laborers and helpers,Worked for private establishment,Single Family,5,1,2,2,Single house,Mixed but predominantly light materials,Salvaged,35,8,1,"Own house, rent-free lot without consent of owner","Water-sealed, sewer septic tank, used exclusively by household",1,Dug well,0,0,0,0,0,0,0,0,2,0,0,0,0,IVB - MIMAROPA
187900,IVB - MIMAROPA,80680,Wage/Salaries,0,41153,33180,6560,5364,558,2054,10100,240,4073,940,19104,9600,1600,15390,1458,24040,9624,0,0,10680,Male,52,Married,High School Graduate,With Job/Business,Motorcycle drivers,Worked for private establishment,Single Family,6,0,3,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Quite Strong,25,10,2,"Own house, rent-free lot without consent of owner","Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, tubed/piped deep well",1,0,0,0,0,0,0,0,2,0,0,0,0,IVB - MIMAROPA
54073,IVB - MIMAROPA,32069,Enterpreneurial Activities,0,15698,12608,5165,1407,150,2020,1560,630,3168,225,9438,4800,1872,1920,750,0,978,100,22610,30366,Male,73,Married,Elementary Graduate,With Job/Business,Market and sidewalk stall vendors,Self-employed wihout any employee,Single Family,2,0,0,0,Single house,Mixed but predominantly light materials,Very Light,20,24,1,"Own house, rent-free lot without consent of owner","Water-sealed, other depository, shared with other household",0,"Shared, tubed/piped deep well",0,0,0,0,0,0,0,0,0,0,0,0,0,IVB - MIMAROPA
157779,IVB - MIMAROPA,72020,Wage/Salaries,0,38108,30140,4540,7014,1340,3862,4100,2584,4140,2015,25806,15000,1447,14562,702,1025,3642,370,18900,18900,Male,55,Married,Elementary Graduate,With Job/Business,Vegetable farmers,Self-employed wihout any employee,Single Family,7,0,2,3,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,40,20,2,"Own house, rent-free lot without consent of owner","Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, tubed/piped deep well",1,0,0,0,0,0,0,0,1,0,0,0,0,IVB - MIMAROPA
130104,IVB - MIMAROPA,49869,Enterpreneurial Activities,0,26131,21177,3496,4696,435,2105,2980,0,0,630,38850,24000,2287,5322,1194,5100,5658,350,0,92372,Male,64,Married,Elementary Graduate,No Job/Business,,,Single Family,3,0,0,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,24,15,3,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, shared with other household",1,"Own use, tubed/piped deep well",1,0,0,1,1,0,0,0,2,0,0,0,0,IVB - MIMAROPA
115186,IVB - MIMAROPA,73886,Enterpreneurial Activities,1,23304,19457,9972,16535,790,3238,10470,1370,3303,2571,17250,6000,332,2664,780,5460,4692,180,0,55323,Male,41,Married,Grade 5,With Job/Business,Deep-sea fishermen,Self-employed wihout any employee,Single Family,5,0,2,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Light,13,4,1,"Own house, rent-free lot with consent of owner","Water-sealed, sewer septic tank, used exclusively by household",1,"Shared, tubed/piped deep well",1,0,0,0,0,0,0,0,0,0,0,0,0,IVB - MIMAROPA
125480,IVB - MIMAROPA,55845,Wage/Salaries,1,27849,26460,4180,7490,1265,3305,3510,372,7760,1090,13782,6600,592,1560,1002,360,5070,200,0,0,Male,51,Married,Second Year High School,With Job/Business,Farmhands and laborers,Worked for private establishment,Extended Family,7,1,1,3,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,24,15,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,0,0,0,0,0,0,0,2,0,0,0,1,IVB - MIMAROPA
165974,IVB - MIMAROPA,74096,Enterpreneurial Activities,0,29930,25820,11715,6785,2520,4020,10070,3516,4270,5997,18702,9600,155,1458,984,21415,7056,0,62447,62447,Male,42,Married,Elementary Graduate,With Job/Business,Rice farmers,Self-employed wihout any employee,Single Family,6,1,3,2,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Very Light,29,12,1,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,0,0,0,0,0,0,0,1,0,0,0,0,IVB - MIMAROPA
149952,IVB - MIMAROPA,63204,Other sources of Income,0,25087,21936,8454,8714,1216,2847,450,0,0,2380,33786,24000,1512,840,1854,0,5910,1100,0,22402,Male,77,Widowed,Elementary Graduate,With Job/Business,General managers/managing proprietors in wholesale and retail trade,Self-employed wihout any employee,Extended Family,5,1,0,2,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,65,20,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,0,1,1,0,0,0,2,0,0,0,0,IVB - MIMAROPA
165752,IVB - MIMAROPA,71448,Enterpreneurial Activities,0,23849,16838,11532,11927,860,2973,9000,1092,4660,5990,22560,13800,552,7638,1848,5070,8412,6700,0,123750,Male,38,Married,Third Year High School,With Job/Business,"General managers/managing proprietors in transportation, storage and communications",Self-employed wihout any employee,Extended Family,5,0,2,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,13,58,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,1,0,1,0,0,0,2,0,0,0,0,IVB - MIMAROPA
185656,IVB - MIMAROPA,28299,Other sources of Income,0,8889,6624,3094,4543,1040,4110,0,0,0,860,65730,42000,10975,3246,198,0,2208,5600,0,0,Female,77,Widowed,Elementary Graduate,No Job/Business,,,Single Family,1,0,0,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,168,37,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,0,0,1,1,0,0,0,0,0,0,0,1,IVB - MIMAROPA
104392,IVB - MIMAROPA,60447,Wage/Salaries,1,28297,24706,1140,8242,694,2865,12880,0,728,130,12978,4800,65,13710,672,870,5664,150,0,11700,Male,44,Married,Grade 3,With Job/Business,Fishery laborers and helpers,Worked for private establishment,Single Family,5,0,3,1,Single house,"Light material (cogon,nipa,anahaw)",Light,14,16,1,"Own house, rent-free lot with consent of owner",,1,"Own use, faucet, community water system",0,0,0,0,0,0,0,0,1,0,0,0,0,IVB - MIMAROPA
145542,IVB - MIMAROPA,40406,Other sources of Income,0,16311,11810,5368,6285,930,2468,3480,0,0,510,58878,33000,9095,3588,312,6280,4320,399,0,0,Female,71,Widowed,Elementary Graduate,No Job/Business,,,Extended Family,2,0,1,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,112,40,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,0,0,0,1,1,0,0,1,0,0,0,0,IVB - MIMAROPA
155531,IVB - MIMAROPA,47448,Other sources of Income,0,16195,12609,3381,6074,465,2709,8910,0,0,13166,22134,6000,165,780,468,12550,6048,200,0,16550,Female,58,Widowed,High School Graduate,With Job/Business,"Tailors, dressmakers and hatters",Self-employed wihout any employee,Extended Family,5,0,4,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,130,20,2,Rent-free house and lot with consent of owner,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",0,0,0,0,0,0,0,0,1,0,0,0,0,IVB - MIMAROPA
1117130,IVB - MIMAROPA,129380,Enterpreneurial Activities,0,31149,22263,11652,12790,2330,2685,56600,0,0,6840,37350,15000,24962,19680,3276,7615,16704,11300,0,1038578,Male,52,Married,High School Graduate,With Job/Business,Deep-sea fishermen,Self-employed wihout any employee,Extended Family,5,0,2,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,96,15,3,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,1,1,1,1,1,0,3,0,1,0,1,IVB - MIMAROPA
67152,IVB - MIMAROPA,37978,Wage/Salaries,0,15830,13935,2380,10759,1037,2542,1170,520,676,120,6000,3000,886,2400,0,0,1038,200,0,0,Female,63,Widowed,Elementary Graduate,With Job/Business,Building caretakers,Worked for private establishment,Single Family,2,0,1,2,Single house,"Light material (cogon,nipa,anahaw)",Light,9,30,1,Own or owner-like possession of house and lot,,0,"Shared, tubed/piped deep well",0,0,0,0,0,0,0,0,0,0,0,0,0,IVB - MIMAROPA
290547,IVB - MIMAROPA,76360,Other sources of Income,0,22322,18498,7558,13123,1325,2701,4420,0,0,885,44208,18000,1362,12018,2394,3540,6516,700,0,79752,Female,52,Widowed,Elementary Graduate,With Job/Business,"General managers/managing proprietors in agriculture, hunting, forestry and fishing",Employer in own family-operated farm or business,Extended Family,6,2,1,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,54,37,3,"Own house, rent-free lot with consent of owner","Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,0,1,1,0,1,0,2,0,0,0,1,IVB - MIMAROPA
213160,IVB - MIMAROPA,52994,Other sources of Income,0,16985,11486,9017,6616,1430,3943,550,0,0,2010,19914,0,1445,3120,2502,1640,5676,2500,0,0,Female,27,Married,Engineering and Engineering trades Programs,No Job/Business,,,Single Family,3,1,1,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,35,20,2,Rent house/room including lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, tubed/piped deep well",1,0,0,0,1,0,0,0,1,0,0,0,0,IVB - MIMAROPA
107844,IVB - MIMAROPA,67333,Enterpreneurial Activities,0,21510,16142,6820,11921,1095,4727,10800,0,0,1200,11862,6300,520,4080,504,3600,4830,1000,0,46452,Female,57,Widowed,Elementary Graduate,With Job/Business,Market and sidewalk stall vendors,Self-employed wihout any employee,Extended Family,6,1,3,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Quite Strong,30,16,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Shared, tubed/piped deep well",2,0,0,0,0,0,0,0,1,0,0,0,0,IVB - MIMAROPA
398050,IVB - MIMAROPA,78295,Other sources of Income,0,22619,12700,19982,8072,3996,3665,19660,0,0,750,49272,30000,1942,9198,4500,109150,11532,2000,0,42320,Female,41,Married,First Year College,With Job/Business,Hog raising farmers,Self-employed wihout any employee,Extended Family,4,0,3,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,100,23,3,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, tubed/piped deep well",1,1,0,1,1,0,0,0,2,1,0,0,1,IVB - MIMAROPA
373469,IVB - MIMAROPA,90889,Wage/Salaries,0,17545,11830,12118,9647,2243,4114,30400,0,0,11520,20880,6300,1526,13140,5700,4100,31812,10200,0,15260,Female,47,Married,Teacher Training and Education Sciences Programs,With Job/Business,General elementary education teaching professionals,Worked for government/government corporation,Single Family,3,0,2,1,Single house,Mixed but predominantly strong materials,Strong,20,2,1,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, tubed/piped deep well",1,0,0,0,0,0,0,0,1,0,0,0,0,IVB - MIMAROPA
93705,IVB - MIMAROPA,35878,Wage/Salaries,1,13991,11267,4280,4037,1435,3135,3000,990,0,520,9240,5100,50,3960,1200,1250,2550,1200,0,0,Male,49,Married,Elementary Graduate,With Job/Business,Farmhands and laborers,Worked for private establishment,Single Family,2,0,1,1,Single house,"Light material (cogon,nipa,anahaw)",Light,25,23,1,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Shared, tubed/piped deep well",1,1,0,0,0,0,0,0,2,0,0,0,1,IVB - MIMAROPA
76915,IVB - MIMAROPA,32223,Wage/Salaries,0,10802,9594,3920,8719,1020,3172,0,1092,5430,900,9210,4800,1148,2340,1146,0,2058,200,0,0,Female,63,Widowed,Elementary Graduate,No Job/Business,,,Single Family,2,0,0,1,Single house,"Light material (cogon,nipa,anahaw)",Salvaged,15,25,1,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, shared with other household",1,"Shared, tubed/piped deep well",0,0,0,0,0,0,0,0,1,0,0,0,0,IVB - MIMAROPA
162218,IVB - MIMAROPA,70054,Other sources of Income,0,18413,9210,15405,4162,3798,5668,9200,0,0,2750,36540,27000,518,4338,2700,1275,17772,4200,0,0,Female,40,Married,High School Graduate,With Job/Business,Shop salespersons and demonstrators,Worked for private establishment,Single Family,2,0,1,2,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,56,2,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, tubed/piped deep well",1,1,0,1,0,0,0,0,2,0,0,0,1,IVB - MIMAROPA
166380,IVB - MIMAROPA,55249,Wage/Salaries,0,18745,15070,5086,7621,1685,6097,4100,624,0,1520,12420,5100,6054,5202,1602,1980,6120,1250,0,40000,Male,53,Married,Elementary Graduate,With Job/Business,General managers/managing proprietors in wholesale and retail trade,Self-employed wihout any employee,Single Family,4,0,1,2,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Light,30,30,1,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, tubed/piped deep well",1,0,1,0,1,0,0,0,4,1,0,0,2,IVB - MIMAROPA
